
2pac توپاک
abc ای‌بی‌سی
abdollahian عبداللهیان
abdollahi عبداللهی
abdollahzadeh عبدالله‌زاده
abdollahzade عبدالله‌زاده
abdollah عبدالله
abdolmalekian عبدالملکیان
abdolmaleki عبدالملکی
abs ای‌بی‌اس
acemoon آسمون
acid اسید
action اکشن
adele ادل
africa آفریقا
aguilera اگویلریا
akradi اکرادی
alem عالم
alexis الکسیس
alex الکس
alibahadori علی‌بهادری
allah الله
alpha آلفا
ambulance آمبولانس
amdan امداً
america آمریکا
apple اپل
aquarium آکواریوم
aqua آکوا
archive آرشیو
ariana آریانا
arrangement ارنجمنت
arrange ارنج
ashegh عاشق
asheq عاشق
ashghal آشغال
ashqal آشغال
asimov آسیموف
austen آستن
avalan اولاً
avvalan اولاً
ayatollah آیت‌الله
babaei بابائی
baba بابا
bahareh بهاره
bamilo بامیلو
barack باراک
barooni بارونی
baroon بارون
basic بیسیک
bbc بی‌بی‌سی
beatles بیتلز
beat بیت
bekaram بکارم
bekarim بکاریم
bekheir به خیر
bellucci بلوچی
beshe بشه
best بست
beyonce بیانسه
bf بی‌اف
bia بیا
bieber بیبر
blog بلاگ
blonde بلوند
blond بلوند
blunt بلانت
bmw بی‌ام‌و
boa بوا
bob باب
booa بوا
bot بات
bowie بووی
boyfriend بوی‌فرند
brand برند
britney بریتنی
bruce بروس
bua بوا
burder برگر
burger برگر
busy بیزی
byte بایت
cable کابل
cache کش
cafe کافه
cake کیک
cameron کامرون
campaign کمپین
cam کم
canada کانادا
captain کاپیتان
card کارد
carl کارل
cartel کارتل
carter کارتر
car کار
case کیس
cash کش
caspian کاسپین
cat کت
cd سی‌دی
cebit سبیت
celebrity سلبریتی
centimeter سانتی‌متر
cents سنتس
cent سنت
checkin چکین
check چک
cheshmaye چشمای
chopin شوپن
christina کریستینا
christmas کریسمس
chris کریس
chuck چاک
cigarette سیگارت
cigar سیگار
cinema سینما
cisco سیسکو
city سیتی
clans کلنز
clan کلن
clash کلش
class کلاس
claud کلاود
clinton کلینتون
cloud کلاود
cnn سی‌ان‌ان
cocacola کوکاکولا
coca کوکا
coffeeshop کافی‌شاپ
coffee کافی
cohen کوهن
cola کولا
cold کلد
collins کالینز
collin کالین
colombia کلمبیا
columbia کلمبیا
combat کمبت
computer کامپیوتر
cooler کولر
copperfield کاپرفیلد
copper کاپر
corel کرل
counter کانتر
couple کاپل
course کورس
cover کاور
cpu سی‌پی‌یو
crash کرش
crush کراش
cup کاپ
daesh داعش
dafatan دفعتاً
daghighan دقیقاً
dana دانا
daqiqan دقیقاً
daram دارم
dareh داره
david دیوید
decor دکور
delux دلوکس
delvapasam دلواپسم
dido دایدو
digikala دیجی‌کالا
disc دیسک
dj دی‌جی
doa دعا
docker داکر
doctor دکتر
dom دم
donyam دنیام
dor دور
down داون
duff داف
dumbledore دامبلدور
dvd دی‌وی‌دی
dylan دیلان
echo اکو
eco اکو
ejalatan اجالتاً
elahi الهی
elle ال
elvis الویس
emadi عمادی
eminem امینم
enrique انریکه
eric اریک
esrar اصرار
esteda استدعا
etelaat اطلاعات
ettelaat اطلاعات
euro یورو
excel اکسل
face فیس
fact فکت
fardaye فردای
fasele فاصله
fax فاکس
fbi اف‌بی‌آی
ferdowsi فردوسی
ferdows فردوس
follower فالور
follow فالو
foran فوراً
force فورس
fox فاکس
france فرانسه
francisco فرانسیسکو
freddy فردی
free فیری
friend فرند
fucker فاکر
fuck فاک
gadget گجت
gaga گاگا
gamer گیمر
game گیم
garcia گارسیا
george جورج
gereye گره
gf جی‌اف
ghalb قلب
gham غم
ghannadi قنادی
ghannad قناد
ghatan قطعاً
ghatel قاتل
ghater قاطر
ghavam قوام
ghayeb غایب
gholamali غلام‌علی
gholamreza غلام‌رضا
gholam غلام
ghuran قرآن
gigabyte گیگابایت
gipsy جیپسی
girlfriend گرل‌فرند
github گیتهاب
good گود
google گوگل
gpu جی‌پی‌یو
grade گرید
green گرین
group گروپ
gucci گوچی
guitar گیتار
hacker هکر
hafez حافظ
haghighatan حقیقتاً
hajipoor حاجی‌پور
hajipour حاجی‌پور
hajipur حاجی‌پور
halal حلال
halam حالم
hallal حلال
halva حلوا
hamburger همبرگر
hame همه
haqiqatan حقیقتاً
hasanzadeh حسن‌زاده
hasanzade حسن‌زاده
hatman حتماً
hatm حتم
havalie حوالی
helicopter هلیکوپتر
hex هگز
hifi های‌فای
high های
hi های
hobbit هابیت
hojjatoleslam حجت‌الاسلام
holiday هالیدی
holly هالی
hoori حوری
hosseinzadeh حسین‌زاده
hosseinzade حسین‌زاده
hp اچ‌پی
huawei هواوی
hub هاب
hybrid هیبرید
hyper هایپر
ice آیس
image ایمیج
ios آی‌او‌اس
iphone آیفون
isaac ایساک
isa عیسی
israel اسرائیل
jackson جکسون
jack جک
jac جک
jadidan جدیداً
james جیمز
jane جین
javanan جوانان
javan جوان
jennifer جنیفر
jesaaratan جسارتاً
jesaratan جسارتاً
johnny جانی
john جان
joseph ژوزف
json جیسون
justin جاستین
just جاست
kaffash کفاش
kah کاه
kamal کمال
kamelan کاملاً
kashef کاشف
kashtand کاشتند
katy کیتی
kaveh کاوه
kaya کایا
kenaram کنارم
keyboard کیبرد
khalse خلسه
khamesan خامساً
khaneye خانه
kharatha خراطها
kharat خراط
kharratha خراطها
kharrat خراط
khiali خیالی
khiyalet خیالت
khoda خدا
kilobyte کیلوبایت
kiss کیس
kobra کبری
kohne کهنه
kollan کلاً
kombat کمبت
kon کن
kooche کوچه
kosan کوسن
kuche کوچه
lady لیدی
level لول
lexus لکسوس
like لایک
linux لینوکس
live لایو
loader لودر
loading لودینگ
load لود
london لندن
lopez لوپز
loser لوزر
lover لاور
love لاو
lucy لوسی
lux لوکس
macbook مک‌بوک
macdonald مک‌دونالد
machine ماشین
mac مک
madonna مدونا
mage مگه
maman مامان
mamoor مأمور
mamour مأمور
mamur مأمور
maree مرئی
mario ماریو
max ماکس
